section,subsection,diseaseId,name,icd10,moduleFile,quality_status,clinical_priority,source_pack,last_reviewed_at,freshness_sla_days,freshness_due_at,freshness_status,review_owner,clinical_editor_review,senior_board_signoff_status,clinical_table_contract,decision_tree_contract,release_blocker
andrology,sexual,erectile-dysfunction,Эректильная дисфункция,N52,erectileDysfunctionData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
andrology,sexual,premature-ejaculation,Преждевременная эякуляция,N53,prematureEjaculationData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
andrology,sexual,priapism,Приапизм,N48.3,priapismData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
andrology,sexual,psychogenic-ed,Психогенная эректильная дисфункция,F52.2,psychogenicEdData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
andrology,sexual,psychogenic-premature-ejaculation,Психогенная преждевременная эякуляция,F52.4,psychogenicPrematureEjaculationData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
urology,functional,overactive-bladder,Гиперактивный мочевой пузырь,N32.8,overactiveBladderData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
urology,functional,urge-incontinence,Ургентное недержание мочи,N39.4,urgeIncontinenceData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
urology,functional,urinary-retention,Острая задержка мочи,R33,urinaryRetentionData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
urology,infections,acute-bacterial-prostatitis,Острый бактериальный простатит,N41.0,acuteBacterialProstatitisData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,acute-cystitis,Острый цистит,N30.0,acuteCystitisData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,device-associated-uti,"ИМП, связанная с катетером/устройством",T83.5,deviceAssociatedUtiData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,fournier-gangrene,Гангрена Фурнье,N49.2,fournierGangreneData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,pyelonephritis,Пиелонефрит,N10,pyelonephritisData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,recurrent-uti,Рецидивирующая ИМП,N39.0,recurrentUtiData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,renal-tuberculosis,Туберкулёз почки,A18.1,renalTuberculosisData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,urosepsis,Уросепсис,N13.6 + A41.9,urosepsisData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,reconstructive,hydronephrosis,Гидронефроз,N13,hydronephrosisData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
urology,reconstructive,testicular-torsion,Перекрут яичка,N44,testicularTorsionData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,not-required,none
urology,stones,kidney-stone,Камень почки,N20.0,kidneyStoneData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,stones,kidney-ureter-stones,Камни почки с камнями мочеточника,N20.2,kidneyUreterStonesData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,stones,renal-colic,Почечная колика,N23,renalColicData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
urology,stones,ureteral-stone,Камень мочеточника,N20.1,ureteralStoneData.js,quality-ready,A,EAU|AUA/ASRM|WHO|RU,2026-05-10,90,2026-08-08,fresh,medical-qa,content-structure-pass,priority-a-policy-ready,responsive-table-or-card-row,decision-tree-supported,none
andrology,endocrine,hypogonadism,Мужской гипогонадизм,E29.1,hypogonadismData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
andrology,fertility,asthenozoospermia,Астенозооспермия,N46,asthenozoospermiaData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU|ESHRE,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
andrology,fertility,azoospermia,Азооспермия,N46,azoospermiaData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU|ESHRE,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
andrology,fertility,cryptorchidism,Крипторхизм,Q53,cryptorchidismData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU|ESHRE,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
andrology,fertility,leukocytospermia,Лейкоцитоспермия,N46,leukocytospermiaData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU|ESHRE,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
andrology,fertility,male-infertility,Мужское бесплодие,N46,maleInfertilityData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU|ESHRE,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
andrology,fertility,oligospermia,Олигозооспермия,N46,oligospermiaData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU|ESHRE,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
andrology,fertility,teratozoospermia,Тератозооспермия,N46,teratozoospermiaData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU|ESHRE,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
andrology,fertility,varicocele,Варикоцеле,I86.1,varicoceleData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU|ESHRE,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
andrology,sexual,cavernous-fibrosis,Фиброз кавернозных тел,N48.6,cavernousFibrosisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
andrology,sexual,chronic-bacterial-prostatitis,Хронический бактериальный простатит,N41.1,chronicBacterialProstatitisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
andrology,sexual,chronic-prostatitis-cpps,Хронический простатит / СХТБ,N41.1,chronicProstatitisCPPSData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
andrology,sexual,funiculitis,Фуникулит,N49.2,funiculitisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
andrology,sexual,peyronie,Болезнь Пейрони,N48.6,peyronieData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
pediatric,,hydrocele,Гидроцеле,N43,hydroceleData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
pediatric,,hypospadias,Гипоспадия,Q54,hypospadiasData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
pediatric,,phimosis,Фимоз,N47,phimosisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
pediatric,,posterior-urethral-valves,Клапаны задней уретры,Q64.2,posteriorUrethralValvesData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,functional,bladder-neck-obstruction,Обструкция шейки мочевого пузыря,N32.0,bladderNeckObstructionData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,functional,bph,ДГПЖ / Аденома простаты,N40,bphData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,functional,interstitial-cystitis,Интерстициальный цистит / СБМП,N30.1,interstitialCystitisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,functional,neurogenic-bladder,Нейрогенный мочевой пузырь,N31,neurogenicBladderData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,functional,neurogenic-bladder-child,Нейрогенный мочевой пузырь у детей,N31.2,neurogenicBladderChildData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,functional,post-prostatectomy-incontinence,Послеоперационное недержание,N39.4,postProstatectomyIncontinenceData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,functional,prostatic-calculi,Камни простаты,N42.0,prostaticCalculiData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,functional,prostatic-cyst,Кисты простаты,N42.0,prostaticCystData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,functional,stress-incontinence,Стрессовое недержание мочи,N39.3,stressIncontinenceData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,functional,underactive-bladder,Гипоактивный мочевой пузырь,N31.2,underactiveBladderData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,infections,balanoposthitis,Баланопостит,N48.1,balanoposthitisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,chronic-cystitis,Хронический цистит,N30.2,chronicCystitisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,cystitis,Цистит,N30,cystitisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,emphysematous-pyelonephritis,Эмфизематозный пиелонефрит,N13.6,emphysematousPyelonephritisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,epididymitis,Эпидидимит,N45,epididymitisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,epididymo-orchitis,Эпидидимоорхит,N45.9,epididymoOrchitisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,orchitis,Орхит,N45,orchitisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,prostate-abscess,Абсцесс простаты,N41.2,prostateAbscessData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,prostatitis,Простатит / ХТБС,N41,prostatitisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,urethral-syndrome,Уретральный синдром,N30.9,urethralSyndromeData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,infections,uti-unspecified,ИМП без уточнения,N39.0,utiUnspecifiedData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,oncology,bladder-cancer,Рак мочевого пузыря,C67,bladderCancerData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,oncology,elevated-psa,Повышенный ПСА,R97,elevatedPsaData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,oncology,kidney-cancer,Рак почки,C64,kidneyCancerData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,oncology,neuroendocrine-bladder,Нейроэндокринная опухоль мочевого пузыря,C67.9,neuroendocrineBladderData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,oncology,papillary-rcc,Папиллярный рак почки,C64,papillaryRccData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,oncology,penile-cancer,Рак полового члена,C60,penileCancerData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,oncology,prostate-cancer,Рак предстательной железы,C61,prostateCancerData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,oncology,sarcoma-prostate,Саркома предстательной железы,C61,sarcomaProstateData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,oncology,testicular-cancer,Рак яичка,C62,testicularCancerData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,oncology,upper-tract-uc,Уротелиальный рак верхних мочевых путей,C65-C66,upperTractUCData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,oncology,urethral-cancer,Рак уретры,C68.0,urethralCancerData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,oncology,wilms-tumor,Опухоль Вильмса (нефробластома),C64,wilmsTumorData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,pain,bladder-pain-syndrome,Болевой синдром мочевого пузыря,N30.1,bladderPainSyndromeData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,pain,radiation-cystitis,Лучевой цистит,N30.4,radiationCystitisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,reconstructive,bladder-exstrophy,Экстрофия мочевого пузыря,Q64.1,bladderExstrophyData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,reconstructive,paraphimosis,Парафимоз,N47.1,paraphimosisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,reconstructive,postprocedural-urethral-stricture,Постпроцедурная стриктура уретры,N99.1,postproceduralUrethralStrictureData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,reconstructive,retroperitoneal-fibrosis,Ретроперитонеальный фиброз,N13.5,retroperitonealFibrosisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,reconstructive,upj-obstruction,Обструкция ЛМС,N13.5,upjObstructionData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,reconstructive,ureteral-stricture-benign,Доброкачественная стриктура мочеточника,N13.5,ureteralStrictureBenignData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,reconstructive,urethral-stricture,Стриктура уретры,N35,urethralStrictureData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,reconstructive,vesicoureteral-reflux,Пузырно-мочеточниковый рефлюкс,N13.7,vesicoureteralRefluxData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
urology,stones,bladder-stones,Камни мочевого пузыря,N21.0,bladderStonesData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
urology,stones,urolithiasis,Мочекаменная болезнь,N20-N23,urolithiasisData.js,quality-ready,B,EAU|AUA/ASRM|WHO|RU,2026-05-10,180,2026-11-06,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,decision-tree-supported,none
andrology,endocrine,androgen-resistance-syndrome,Синдром андрогенной резистентности,E34.5,androgenResistanceSyndromeData.js,quality-ready,C,EAU|AUA/ASRM|WHO|RU,2026-05-10,365,2027-05-10,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
andrology,endocrine,hyperprolactinemia-male,Гиперпролактинемия у мужчин,E22.1,hyperprolactinemiaMaleData.js,quality-ready,C,EAU|AUA/ASRM|WHO|RU,2026-05-10,365,2027-05-10,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
andrology,endocrine,hyperthyroidism-ed,ЭД на фоне гипертиреоза,E05.9,hyperthyroidismEdData.js,quality-ready,C,EAU|AUA/ASRM|WHO|RU,2026-05-10,365,2027-05-10,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
andrology,endocrine,kallmann-syndrome,Синдром Каллмана,E23.0,kallmannSyndromeData.js,quality-ready,C,EAU|AUA/ASRM|WHO|RU,2026-05-10,365,2027-05-10,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
andrology,endocrine,klein-felter,Синдром Клайнфельтера,Q97.0,kleinFelterData.js,quality-ready,C,EAU|AUA/ASRM|WHO|RU,2026-05-10,365,2027-05-10,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
andrology,endocrine,male-climacterium,Мужской климакс (LOH),E29.1,maleClimacteriumData.js,quality-ready,C,EAU|AUA/ASRM|WHO|RU,2026-05-10,365,2027-05-10,fresh,content-lead,content-structure-pass,scheduled-board-wave,responsive-table-or-card-row,not-required,none
